1,Hydrogen,2.2,13.59844,25,120,38,1
2,Helium,,24.58741,31,140,32,2
3,Lithium,0.98,5.39172,145,182,134,1
4,Beryllium,1.57,9.3227,105,,90,2
5,Boron,2.04,8.29803,85,,82,3
6,Carbon,2.55,11.2603,70,170,77,4
7,Nitrogen,3.04,14.53414,65,155,75,5
8,Oxygen,3.44,13.61806,60,152,73,6
9,Fluorine,3.98,17.42282,50,147,71,7
10,Neon,,21.5646,38,154,69,8
11,Sodium,0.93,5.13908,180,227,154,1
12,Magnesium,1.31,7.64624,150,173,130,2
13,Aluminium,1.61,5.98577,125,,118,3
14,Silicon,1.9,8.15169,110,210,111,4
15,Phosphorus,2.19,10.48669,100,180,106,5
16,Sulfur,2.58,10.36001,100,180,102,6
17,Chlorine,3.16,12.96764,100,175,99,7
18,Argon,,15.75962,71,188,97,8
19,Potassium,0.82,4.34066,220,275,196,1
20,Calcium,1,6.11316,180,,174,2
21,Scandium,1.36,6.5615,160,,144,2
22,Titanium,1.54,6.8281,140,,136,2
23,Vanadium,1.63,6.7462,135,,125,2
24,Chromium,1.66,6.7665,140,,127,1
25,Manganese,1.55,7.43402,140,,139,2
26,Iron,1.83,7.9024,140,,125,2
27,Cobalt,1.91,7.6398,135,163,121,2
28,Nickel,1.88,7.881,135,,126,2
29,Copper,1.9,7.72638,135,140,138,1
30,Zinc,1.65,9.3942,135,139,131,2
31,Gallium,1.81,5.9993,130,187,126,3
32,Germanium,2.01,7.8994,125,,122,4
33,Arsenic,2.18,9.7886,115,185,119,5
34,Selenium,2.55,9.75238,115,190,116,6
35,Bromine,2.96,11.81381,115,185,114,7
36,Krypton,3,13.99961,88,202,110,8
37,Rubidium,0.82,4.17713,235,,211,1
38,Strontium,0.95,5.6949,200,,192,2
39,Yttrium,1.22,6.2171,180,,162,2
40,Zirconium,1.33,6.6339,155,,148,2
41,Niobium,1.6,6.75885,145,,137,1
42,Molybdenum,2.16,7.09243,145,,145,1
43,Technetium,1.9,7.28,135,,156,1
44,Ruthenium,2.2,7.3605,130,,126,1
45,Rhodium,2.28,7.4589,135,,135,1
46,Palladium,2.2,8.3369,140,163,131,
47,Silver,1.93,7.5762,160,172,153,1
48,Cadmium,1.69,8.9938,155,158,148,2
49,Indium,1.78,5.78636,155,193,144,3
50,Tin,1.96,7.3439,145,217,141,4
51,Antimony,2.05,8.6084,145,,138,5
52,Tellurium,2.1,9.0096,140,206,135,6
53,Iodine,2.66,10.45126,140,198,133,7
54,Xenon,2.6,12.1298,108,216,130,8
55,Caesium,0.79,3.8939,260,,225,1
56,Barium,0.89,5.2117,215,,198,2
57,Lanthanum,1.1,5.5769,195,,169,2
58,Cerium,1.12,5.5387,185,,,2
59,Praseodymium,1.13,5.473,185,,,2
60,Neodymium,1.14,5.525,185,,,2
61,Promethium,,5.582,185,,,2
62,Samarium,1.17,5.6436,185,,,2
63,Europium,,5.6704,185,,,2
64,Gadolinium,1.2,6.1501,180,,,2
65,Terbium,,5.8638,175,,,2
66,Dysprosium,1.22,5.9389,175,,,2
67,Holmium,1.23,6.0215,175,,,2
68,Erbium,1.24,6.1077,175,,,2
69,Thulium,1.25,6.18431,175,,,2
70,Ytterbium,,6.25416,175,,,2
71,Lutetium,1.27,5.4259,175,,160,2
72,Hafnium,1.3,6.82507,155,,150,2
73,Tantalum,1.5,7.5496,145,,138,2
74,Tungsten,2.36,7.864,135,,146,2
75,Rhenium,1.9,7.8335,135,,159,2
76,Osmium,2.2,8.4382,130,,128,2
77,Iridium,2.2,8.967,135,,137,2
78,Platinum,2.28,8.9587,135,175,128,1
79,Gold,2.54,9.2255,135,166,144,1
80,Mercury,2,10.4375,150,155,149,2
81,Thallium,1.62,6.1082,190,196,148,3
82,Lead,2.33,7.41666,180,202,147,4
83,Bismuth,2.02,7.2856,160,,146,5
84,Polonium,2,8.417,190,,,6
85,Astatine,2.2,,,,,7
86,Radon,,10.7485,120,,145,8
87,Francium,0.7,4.0727,,,,1
88,Radium,0.9,5.2784,215,,,2
89,Actinium,1.1,5.17,195,,,2
90,Thorium,1.3,6.3067,180,,,2
91,Protactinium,1.5,5.89,180,,,2
92,Uranium,1.38,6.19405,175,186,,2
93,Neptunium,1.36,6.2657,175,,,2
94,Plutonium,1.28,6.0262,175,,,2
95,Americium,1.3,5.9738,175,,,2
96,Curium,1.3,5.9915,,,,2
97,Berkelium,1.3,6.1979,,,,2
98,Californium,1.3,6.2817,,,,2
99,Einsteinium,1.3,6.42,,,,2
100,Fermium,1.3,6.5,,,,2
101,Mendelevium,1.3,6.58,,,,2
102,Nobelium,1.3,6.65,,,,2
103,Lawrencium,,4.9,,,,3
104,Rutherfordium,,6,,,,
105,Dubnium,,,,,,
106,Seaborgium,,,,,,
107,Bohrium,,,,,,
108,Hassium,,,,,,
109,Meitnerium,,,,,,
110,Darmstadtium,,,,,,
111,Roentgenium,,,,,,
112,Copernicium,,,,,,
113,Ununtrium,,,,,,
114,Flerovium,,,,,,
115,Ununpentium,,,,,,
116,Livermorium,,,,,,
117,Ununseptium,,,,,,
118,Ununoctium,,,,,,
